candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population,poll_id,poll_type,nb_people,start_date,end_date,folder,pdf_url,id,institut,commanditaire,mention1,mention2,mention3,mention4,mention5,mention6,mention7,nombre_mentions,question,name,surname,parti,annonce_candidature,retrait_candidature,second_round,candidate
DV,3,23,22,24,28.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Dominique,de Villepin,,,,,Dominique de Villepin
FB,2,23,24,28,23.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François,Bayrou,Mouvement Démocrate,,,,François Bayrou
MM,8,16,15,46,15.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Marion,Maréchal,,,,,Marion Maréchal
XB,3,21,25,24,27.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Xavier,Bertrand,Les Républicains,,,,Xavier Bertrand
EDM,4,18,21,37,20.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Eric,Dupond-Moretti,,,,,Eric Dupond-Moretti
OF,3,19,19,24,35.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Olivier,Faure,Parti Socialiste,,,,Olivier Faure
RD,2,20,25,33,20.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Rachida,Dati,Les Républicains,,,,Rachida Dati
EC,5,16,17,44,18.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Eric,Ciotti,Les Républicains,,,,Eric Ciotti
BC,4,17,23,23,33.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Bernard,Cazeneuve,Parti Socialiste,,,,Bernard Cazeneuve
GL,3,18,20,25,34.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Gérard,Larcher,Les Républicains,,,,Gérard Larcher
YJ,3,18,22,26,31.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Yannick,Jadot,Europe Écologie Les Verts,,,,Yannick Jadot
MT,7,13,15,26,39.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Marine,Tondelier,Europe Écologie Les Verts,,,,Marine Tondelier
LW,3,17,25,27,28.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Laurent,Wauquiez,Les Républicains,,,,Laurent Wauquiez
LB,3,15,19,23,40.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Laurent,Berger,,,,,Laurent Berger
YBP,3,14,16,22,45.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Yaël,Braun-Pivet,,,,,Yaël Braun-Pivet
CA,4,12,17,30,37.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Clémentine,Autain,La France Insoumise,,,,Clémentine Autain
JLM,5,10,13,63,9.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Jean-Luc,Mélenchon,La France Insoumise,,,,Jean-Luc Mélenchon
SR,3,12,14,41,30.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Sandrine,Rousseau,Europe Écologie Les Verts,,,,Sandrine Rousseau
EZ,4,10,13,63,10.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Eric,Zemmour,,,,,Eric Zemmour
MB,3,11,14,35,37.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Manuel,Bompard,La France Insoumise,,,,Manuel Bompard
AH,2,12,24,46,16.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Anne,Hidalgo,Parti Socialiste,,,,Anne Hidalgo
MP,3,9,10,40,38.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Mathilde,Panot,La France Insoumise,,,,Mathilde Panot
AOC,1,9,17,36,37.0,,,pt2,all,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Amélie,Oudéa-Castéra,,,,,Amélie Oudéa-Castéra
EP,9,33,22,21,15.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Edouard,Philippe,Horizons,,,,Edouard Philippe
JB,16,22,10,39,13.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Jordan,Bardella,Rassemblement National,,,,Jordan Bardella
MLP,14,23,13,38,12.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Marine,Le Pen,Rassemblement National,,,,Marine Le Pen
RG,5,19,20,24,32.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Raphaël,Glucksmann,,,,,Raphaël Glucksmann
FH,4,21,28,33,14.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François,Hollande,Parti Socialiste,,,,François Hollande
FR,6,16,23,23,32.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François,Ruffin,La France Insoumise,,,,François Ruffin
NS,5,18,25,38,14.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Nicolas,Sarkozy,Les Républicains,,,,Nicolas Sarkozy
FRo,3,20,21,24,32.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Fabien,Roussel,Parti Communiste Français,,,,Fabien Roussel
GD,6,26,23,26,19.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Gérald,Darmanin,,,,,Gérald Darmanin
DV,5,19,24,24,28.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Dominique,de Villepin,,,,,Dominique de Villepin
XB,3,21,25,25,26.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Xavier,Bertrand,Les Républicains,,,,Xavier Bertrand
OF,4,14,22,24,36.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Olivier,Faure,Parti Socialiste,,,,Olivier Faure
RD,2,22,25,32,19.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Rachida,Dati,Les Républicains,,,,Rachida Dati
EC,5,15,18,40,22.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Eric,Ciotti,Les Républicains,,,,Eric Ciotti
BC,3,23,23,21,30.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Bernard,Cazeneuve,Parti Socialiste,,,,Bernard Cazeneuve
GL,3,17,22,25,33.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Gérard,Larcher,Les Républicains,,,,Gérard Larcher
MT,3,11,16,28,42.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Marine,Tondelier,Europe Écologie Les Verts,,,,Marine Tondelier
LW,3,16,24,31,26.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Laurent,Wauquiez,Les Républicains,,,,Laurent Wauquiez
YBP,3,14,17,23,43.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Yaël,Braun-Pivet,,,,,Yaël Braun-Pivet
JLM,5,10,16,58,11.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Jean-Luc,Mélenchon,La France Insoumise,,,,Jean-Luc Mélenchon
EZ,5,12,14,57,12.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Eric,Zemmour,,,,,Eric Zemmour
MBa,4,26,24,22,24.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Michel,Barnier,Les Républicains,,,,Michel Barnier
GA,7,29,22,26,16.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Gabriel,Attal,La République En Marche,,,,Gabriel Attal
BR,10,21,14,23,32.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Bruno,Retailleau,Les Républicains,,,,Bruno Retailleau
SL,3,18,19,19,41.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Sébastien,Lecornu,Les Républicains,,,,Sébastien Lecornu
VP,3,14,28,36,19.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Valérie,Pécresse,Les Républicains,,,,Valérie Pécresse
EB,3,18,26,39,14.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Elisabeth,Borne,La République En Marche,,,,Elisabeth Borne
MV,3,16,23,40,18.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Manuel,Valls,,,,,Manuel Valls
NDA,4,17,18,35,26.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Nicolas,Dupont-Aignan,,,,,Nicolas Dupont-Aignan
FRe,2,10,17,19,52.0,,,pt2,all,elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François, Rebsamen,,,,,François  Rebsamen
EP,6,33,20,22,19.0,,,pt2,all,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Edouard,Philippe,Horizons,,,,Edouard Philippe
JB,14,21,12,39,14.0,,,pt2,all,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Jordan,Bardella,Rassemblement National,,,,Jordan Bardella
MLP,13,23,12,39,13.0,,,pt2,all,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Marine,Le Pen,Rassemblement National,,,,Marine Le Pen
RG,6,20,16,24,34.0,,,pt2,all,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Raphaël,Glucksmann,,,,,Raphaël Glucksmann
FH,3,22,26,32,17.0,,,pt2,all,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François,Hollande,Parti Socialiste,,,,François Hollande
FR,7,17,18,23,35.0,,,pt2,all,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François,Ruffin,La France Insoumise,,,,François Ruffin
NS,5,18,22,40,15.0,,,pt2,all,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Nicolas,Sarkozy,Les Républicains,,,,Nicolas Sarkozy
FRo,5,21,18,23,33.0,,,pt2,all,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Fabien,Roussel,Parti Communiste Français,,,,Fabien Roussel
GD,5,25,19,30,21.0,,,pt2,all,elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Gérald,Darmanin,,,,,Gérald Darmanin
